OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-4304,2022-097AC,2022-08-29T14:00:01.000224,15.73125642,.0001195,53.2195,152.0895,93.0211,350.3309,0,U,53414,999,130,.41226E-3,.5745E-3,0
STARLINK-4479,2022-097AD,2022-08-29T16:00:00.999936,15.73188102,.0000964,53.2199,151.6763,75.3216,120.8859,0,U,53415,999,349,.58635E-3,.82438E-3,0
STARLINK-4480,2022-097AE,2022-08-29T16:00:00.999936,15.73190533,.000124,53.2204,151.6690,85.4518,112.5408,0,U,53416,999,349,-.15861E-3,-.2281E-3,0
STARLINK-4484,2022-097AF,2022-08-29T16:00:00.999936,15.73162107,.0001093,53.2196,151.6747,83.0310,113.7339,0,U,53417,999,349,.60704E-3,.85303E-3,0
STARLINK-4481,2022-097AG,2022-08-29T14:00:01.000224,15.73115187,.0000966,53.2198,151.9774,93.2798,44.4784,0,U,53418,999,130,.55983E-3,.78397E-3,0
STARLINK-4476,2022-097AH,2022-08-29T16:00:00.999936,15.73167175,.0001085,53.2194,151.6725,80.0978,117.3520,0,U,53419,999,349,.62847E-3,.88389E-3,0
STARLINK-4552,2022-097AJ,2022-08-29T14:00:01.000224,15.73174042,.0001131,53.2199,152.0807,96.9114,351.2501,0,U,53420,999,130,.53428E-3,.7495E-3,0
STARLINK-4545,2022-097AK,2022-08-29T14:00:01.000224,15.73189351,.0001108,53.2197,152.0831,90.4764,355.9162,0,U,53421,999,130,.5012E-3,.70278E-3,0
STARLINK-4546,2022-097AL,2022-08-29T16:00:00.999936,15.73168861,.0001087,53.2195,151.6646,85.3078,116.3093,0,U,53422,999,349,.5821E-3,.81762E-3,0
STARLINK-4539,2022-097AM,2022-08-29T14:00:01.000224,15.73113784,.0001226,53.2200,152.0834,84.2922,2.6961,0,U,53423,999,130,.31387E-3,.43495E-3,0
STARLINK-4532,2022-097AN,2022-08-29T14:00:01.000224,15.73213998,.000095,53.2196,152.0754,95.1319,355.4213,0,U,53424,999,130,.11574E-3,.15663E-3,0
STARLINK-4531,2022-097AP,2022-08-29T16:00:00.999936,15.73159343,.000128,53.2196,151.6656,92.8889,108.1309,0,U,53425,999,349,.61961E-3,.87091E-3,0
STARLINK-4558,2022-097AQ,2022-08-29T16:00:00.999936,15.73208487,.0000961,53.2195,151.6616,92.0574,111.2958,0,U,53426,999,349,.40485E-3,.56602E-3,0
STARLINK-4541,2022-097AR,2022-08-29T16:00:00.999936,15.73170823,.0001088,53.2202,151.6627,92.4692,109.7280,0,U,53427,999,349,.62594E-3,.8804E-3,0
STARLINK-4540,2022-097AS,2022-08-29T14:00:01.000224,15.73236221,.0000919,53.2193,152.0696,88.9010,4.0340,0,U,53428,999,130,-.24166E-3,-.34447E-3,0
STARLINK-4543,2022-097AT,2022-08-29T16:00:00.999936,15.73222519,.0000953,53.2193,151.6577,104.0526,100.5447,0,U,53429,999,349,-.14598E-3,-.21074E-3,0
STARLINK-4538,2022-097AU,2022-08-29T14:00:01.000224,15.73177769,.0000856,53.2204,152.0697,89.8674,3.6682,0,U,53430,999,130,.56634E-3,.79541E-3,0
STARLINK-4548,2022-097AV,2022-08-29T16:00:00.999936,15.73216641,.0001221,53.2195,151.6600,80.6510,123.3163,0,U,53431,999,349,.52216E-4,.6719E-4,0
STARLINK-4557,2022-097AW,2022-08-29T16:00:00.999936,15.73247260,.0001172,53.2183,151.6490,85.7631,121.8246,0,U,53432,999,349,-.20778E-2,-.283191E-2,0
STARLINK-4549,2022-097AX,2022-08-29T16:00:00.999936,15.73170738,.0000901,53.2193,151.6548,84.7330,121.6477,0,U,53433,999,349,.57425E-3,.80647E-3,0
STARLINK-4498,2022-097AY,2022-08-29T16:00:00.999936,15.73171992,.0000895,53.2193,151.6506,87.5927,121.1698,0,U,53434,999,349,.53801E-3,.75475E-3,0
STARLINK-4542,2022-097AZ,2022-08-29T16:00:00.999936,15.73161319,.0000711,53.2199,151.6551,98.4639,108.4353,0,U,53435,999,349,.59483E-3,.83554E-3,0
STARLINK-4527,2022-097BA,2022-08-29T14:00:01.000224,15.73162587,.0000556,53.2193,152.0620,71.6778,25.3743,0,U,53436,999,130,.56209E-3,.78882E-3,0
STARLINK-4526,2022-097BC,2022-08-29T16:00:00.999936,15.73131093,.0001258,53.2194,151.6484,91.6167,118.3083,0,U,53438,999,349,.60346E-3,.84678E-3,0
STARLINK-4519,2022-097BD,2022-08-29T14:00:01.000224,15.73154521,.0000574,53.2196,152.0598,99.3245,358.9230,0,U,53439,999,130,.54816E-3,.76866E-3,0
FALCON 9 DEB,2022-097BE,2022-08-29T07:13:51.519936,16.28180840,.0023774,53.2183,149.6102,130.1661,230.1470,0,U,53440,999,312,.63382E-3,.2725452E-1,.11992E-4
